,movie_name,URL
0,Ajab Singh Ki Gazab Kahani (2017) ,https://www.filmyzilla.vg/movie/8751/Ajab-singh-ki-gazab-kahani-(2017)-hindi-movie.html
1,GST Galti Sirf Tumhari (2017) ,https://www.filmyzilla.vg/movie/8759/Gst-galti-sirf-tumhari-(2017)-hindi-movie.html
2,Blue Mountains (2017) ,https://www.filmyzilla.vg/movie/8767/Blue-mountains-(2017)-hindi-movie.html
3,Omerta (2017) ,https://www.filmyzilla.vg/movie/8776/Omerta-(2017)-hindi-movie.html
4,Office (2017) ,https://www.filmyzilla.vg/movie/8795/Office-(2017)-hindi-movie.html
5,Wedding Anniversary (2017) e ,https://www.filmyzilla.vg/movie/8801/Wedding-anniversary-(2017)-hindi-moviee.html
6,Dear Maya (2017) ,https://www.filmyzilla.vg/movie/8807/Dear-maya-(2017)-hindi-movie.html
7,CRD (2017) ,https://www.filmyzilla.vg/movie/8814/Crd-(2017)-hindi-movie.html
8,Sallu Ki Shaadi (2017) ,https://www.filmyzilla.vg/movie/8824/Sallu-ki-shaadi-(2017)-hindi-movie.html
9,Sargoshiyan (2017) ,https://www.filmyzilla.vg/movie/8835/Sargoshiyan-(2017)-hindi-movie.html
10,Rukh (2017) ,https://www.filmyzilla.vg/movie/8844/Rukh-(2017)-hindi-movie.html
11,Thodi Thodi Si Manmaaniyan (2017) ,https://www.filmyzilla.vg/movie/8855/Thodi-thodi-si-manmaaniyan-(2017)-hindi-movie.html
12,Love and Shukla (2017) ,https://www.filmyzilla.vg/movie/8865/Love-and-shukla-(2017)-hindi-movie.html
13,Ribbon (2017) ,https://www.filmyzilla.vg/movie/8873/Ribbon-(2017)-hindi-movie.html
14,AranyaDeb (2017) ,https://www.filmyzilla.vg/movie/8882/Aranyadeb-(2017)-hindi-movie.html
15,Tikli and Laxmi Bomb (2017) ,https://www.filmyzilla.vg/movie/8890/Tikli-and-laxmi-bomb-(2017)-hindi-movie.html
16,Viraam (2017) ,https://www.filmyzilla.vg/movie/8896/Viraam-(2017)-hindi-movie.html
