,movie_name,URL
0,Lust Stories (2018) ,https://www.filmyzilla.vg/movie/14421/Lust-stories-(2018)-hindi-movie.html
1,Kuchh Bheege Alfaaz (2018) ,https://www.filmyzilla.vg/movie/8787/Kuchh-bheege-alfaaz-(2018)-hindi-movie.html
2,Turtle (2018) ,https://www.filmyzilla.vg/movie/8796/Turtle-(2018)-hindi-movie.html
3,Side A and Side B (2018) ,https://www.filmyzilla.vg/movie/8804/Side-a-and-side-b-(2018)-hindi-movie.html
4,Bhor (2018) ,https://www.filmyzilla.vg/movie/8817/Bhor-(2018)-hindi-movie.html
5,River Song (2018) ,https://www.filmyzilla.vg/movie/8827/River-song-(2018)-hindi-movie.html
6,Mauli (2018) ,https://www.filmyzilla.vg/movie/8840/Mauli-(2018)-hindi-movie.html
7,Baa Baaa Black Sheep (2018) ,https://www.filmyzilla.vg/movie/8852/Baa-baaa-black-sheep-(2018)-hindi-movie.html
8,Widow of Silence (2018) ,https://www.filmyzilla.vg/movie/8863/Widow-of-silence-(2018)-hindi-movie.html
9,Panchaali (2018) ,https://www.filmyzilla.vg/movie/8876/Panchaali-(2018)-hindi-movie.html
10,Bhootwali Love Story (2018) ,https://www.filmyzilla.vg/movie/8884/Bhootwali-love-story-(2018)-hindi-movie.html
11,Love Training (2018) ,https://www.filmyzilla.vg/movie/8895/Love-training-(2018)-hindi-movie.html
12,Raja Abroadiya (2018) ,https://www.filmyzilla.vg/movie/8900/Raja-abroadiya-(2018)-hindi-movie.html
13,Ekkees Tareekh Shubh Muhurat (2018) ,https://www.filmyzilla.vg/movie/8905/Ekkees-tareekh-shubh-muhurat-(2018)-hindi-movie.html
14,Gaon (2018) ,https://www.filmyzilla.vg/movie/8915/Gaon-(2018)-hindi-movie.html
15,Bewajah (2018) ,https://www.filmyzilla.vg/movie/8925/Bewajah-(2018)-hindi-movie.html
16,Karim Mohammed (2018) ,https://www.filmyzilla.vg/movie/8932/Karim-mohammed-(2018)-hindi-movie.html
17,Hotel Milan (2018) ,https://www.filmyzilla.vg/movie/8938/Hotel-milan-(2018)-hindi-movie.html
18,Adrishya (2018) ,https://www.filmyzilla.vg/movie/8942/Adrishya-(2018)-hindi-movie.html
19,When Obama Loved Osama (2018) ,https://www.filmyzilla.vg/movie/8946/When-obama-loved-osama-(2018)-hindi-movie.html
20,Nirdosh (2018) ,https://www.filmyzilla.vg/movie/8951/Nirdosh-(2018)-hindi-movie.html
21,Veerey Ki Wedding (2018) ,https://www.filmyzilla.vg/movie/8954/Veerey-ki-wedding-(2018)-hindi-movie.html
22,Punjab Singh (2018) ,https://www.filmyzilla.vg/movie/8959/Punjab-singh-(2018)-hindi-movie.html
23,Dino Ki Dulhaniya (2018) ,https://www.filmyzilla.vg/movie/8962/Dino-ki-dulhaniya-(2018)-hindi-movie.html
24,Gali Guleiyan (2018) ,https://www.filmyzilla.vg/movie/8967/Gali-guleiyan-(2018)-hindi-movie.html
25,Bhaagte Raho (2018) ,https://www.filmyzilla.vg/movie/8970/Bhaagte-raho-(2018)-hindi-movie.html
26,The Dark Side of Life Mumbai City (2018) ,https://www.filmyzilla.vg/movie/7500/The-dark-side-of-life-mumbai-city-(2018)-hindi-movie.html
27,The Window (2018) ,https://www.filmyzilla.vg/movie/7502/The-window-(2018)-hindi-movie.html
28,Pihu (2019) ,https://www.filmyzilla.vg/movie/7504/Pihu-(2019)-hindi-movie.html
29,Village Rockstars (2018) ,https://www.filmyzilla.vg/movie/7506/Village-rockstars-(2018)-hindi-movie.html
30,Simmba (2018)  Full ,https://www.filmyzilla.vg/movie/7507/Simmba-(2018)-hindi-full-movie.html
31,Dassehra (2018) ,https://www.filmyzilla.vg/movie/7509/Dassehra-(2018)-hindi-movie.html
32,Zero (2018) ,https://www.filmyzilla.vg/movie/7511/Zero-(2018)-hindi-movie.html
33,Ascharya Fuck It (2018) ,https://www.filmyzilla.vg/movie/7514/Ascharya-fuck-it-(2018)-hindi-movie.html
34,Love Bites (2018) ,https://www.filmyzilla.vg/movie/7516/Love-bites-(2018)-hindi-movie.html
35,Jalebi (2018) ,https://www.filmyzilla.vg/movie/7520/Jalebi-(2018)-hindi-movie.html
